104581609236,50327094401581426546
104581609317,50327094413139609939
104581609426,50327094424076348878
104581609519,50327094430297867048
104581609664,50327094442419005668
104581609751,50327094452976399260
104581609848,50327094463436360572
104581609931,50327094473470148945
104581610026,50327094481880412372
104581610110,50327094490281720049
104581610286,50327094502979330167
104581610342,50327094513071389094
104581610413,50327094520505811811
104581610525,50327094533648758443
104581610617,50327094540101694430
104581610733,50327094551225320227
104581610818,50327094561966490215
104581610932,50327094571769712573
104581611024,50327094583123274236
104581611117,50327094590679052443
104581611255,50327094600273910896
104581611367,50327094610127714268
104581611464,50327094620140005525
104581611519,50327094633030557202
104581611640,50327094643184130159
104581611748,50327094651242039844
104581611819,50327094660666199151
104581611900,50327094671611165892
104581612043,50327094681019133254
104581612121,50327094693670873065
104581612229,50327094701837563575
104581612325,50327094712251925831
104581612422,50327094721969817264
104581612532,50327094734060619109
104581612641,50327094740201464298
104581612765,50327094753097062065
104581612826,50327094760427102309
104581612923,50327094773278495069
104581613050,50327094783476475953
104581613113,50327094793634012583
104581613253,50327094801440056406
104581613338,50327094813256553761
104581613461,50327094823067475683
104581613517,50327094831432469322
104581613682,50327094841987792823
104581613714,50327094850383567194
104581613824,50327094860471222266
104581613927,50327094871928283554
104581614021,50327094880781986300
104581614122,50327094890002910783
104581614267,50327094901417586969
104581614316,50327094912823432962
104581614410,50327094921982594530
104581614504,50327094933666708885
104581614638,50327094944215500609
104581614713,50327094950003602493
104581614830,50327094962644603687
104581614919,50327094971847229807
104581615021,50327094982134620048
104581615132,50327094992560656289
104581615247,50327095000743557710
104581615352,50327095012334993232
104581615410,50327095023685483968
104581615512,50327095032146203848
104581615639,50327095042348227415
104581615714,50327095052810086196
104581615848,50327095063706095103
104581615910,50327095070864308385
104581616016,50327095082239613488
104581616151,50327095093353507475
104581616247,50327095102260386646
104581616340,50327095110660443156
104581616411,50327095123958062456
104581616553,50327095130233366063
104581616612,50327095143692776143
104581616715,50327095154163577006
104581616841,50327095163018482256
104581616947,50327095173152777244
104581617065,50327095181543611011
104581617122,50327095192453964700
104581617214,50327095204258395524
104581617350,50327095211690351631
104581617413,50327095221801268202
104581617514,50327095232823583310
104581617611,50327095242225376548
104581617764,50327095251662188256
104581617817,50327095262217003786
104581617916,50327095272195068536
104581618096,50327095283892558744
104581618172,50327095291553177471
104581618220,50327095301634399779
104581618340,50327095311283214059
104581618496,50327095324251134184
104581618521,50327095332203567609
104581618667,50327095343856826654
104581618736,50327095353801145620
104581618810,50327095363834245709
104581618936,50327095371442073855
104581619028,50327095383875064675
104581619141,50327095390500762517
104581619222,50327095401932312134
104581619311,50327095413516818638
104581619482,50327095422826631205
104581619504,50327095432920116100
104581619636,50327095441315923607
104581619790,50327095450645797202
104581619838,50327095460306307305
104581619925,50327095470587819691
104581620059,50327095483711229828
104581620152,50327095492387923999
104581620211,50327095503931400825
104581620323,50327095511582449824
104581620422,50327095523361011690
104581620510,50327095534109906496
104581620610,50327095543071380715
104581620730,50327095551931562498
104581620812,50327095563523221933
104581620946,50327095574047003996
104581621086,50327095582423024341
104581621149,50327095591607309421
104581621236,50327095602377138764
104581621336,50327095610763868592
104581621433,50327095620220021325
104581621540,50327095631756995709
104581621632,50327095642913372920
104581621717,50327095653905743929
104581621835,50327095662621781430
104581621930,50327095671273807488
104581622040,50327095683705368773
104581622177,50327095690852767274
104581622216,50327095702951268244
104581622320,50327095712506778652
104581622416,50327095723652766556
104581622513,50327095731743229920
104581622647,50327095742197461959
104581622726,50327095752009021389
104581622831,50327095760237326341
104581622929,50327095772358973084
104581623094,50327095783639826518
104581623124,50327095792106415009
104581623220,50327095804031182458
104581623322,50327095810019058693
